Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,7,SPC,MPOLY,0.669296258,0.028225849,722586261.8,635128289.7,1919454.88,1503628.412,0.71804764,0.002340769,,
1,7,SPC,MNOUNIF,0.673671126,0.026294284,1039650287,896139313.2,2466331.04,1640085.147,0.715080771,0.004554466,,
1,7,SPC,NONE,0.672459772,0.026053933,656269149.4,492589334.4,1913404.32,1428442.931,0.715468966,-0.002237557,,
1,7,TPC,MPOLY,0.6722282,0.027080237,825678750.7,638559199.4,2114976.16,1490560.748,0.717362154,0.00353121,,
1,7,TPC,MNOUNIF,0.67384555,0.024889444,992852108.8,737170326.3,2404192.16,1579809.246,0.713832244,0.003999713,,
1,7,TPC,NONE,0.672462712,0.026643177,837886051.8,660019299.1,1947504.8,1275017.522,0.714665559,0.004411919,,
1,7,UC,MPOLY,0.670622628,0.030006003,841898283.5,668849646.6,2098447.52,1471290.895,0.716854609,-0.002988995,,
1,7,UC,MNOUNIF,0.672441589,0.025353803,966972915.2,727194953.8,2350706.08,1602676.078,0.714003012,0.003953194,,
1,7,UC,NONE,0.675040939,0.026312131,815909583.4,604432632.7,2148171.68,1443939.001,0.720741702,0.00749246,,
1,7,SBX,MPOLY,0.666297723,0.031786334,753795953.9,629414501,1925602.72,1431398.706,0.716604663,0.003128117,,
1,7,SBX,MNOUNIF,0.667333686,0.028510249,833599490.6,671644726.5,2047614.88,1469527.568,0.717139632,0.00638679,,
1,7,SBX,NONE,0.673722763,0.027071559,989522196.5,814964732.2,2324923.04,1658497.186,0.713959572,0.004125218,,
1,7,NONE,MPOLY,0.673977695,0.026139395,926497337.6,733039937.6,2329842.08,1668505.545,0.715527973,0.002908891,,
1,7,NONE,MNOUNIF,0.673525656,0.025047376,994769445.1,734693787.2,2446562.72,1631539.093,0.713830943,0.003944033,,
1,7,TPC,MPOLY,0.6722282,0.027080237,825678750.7,638559199.4,2114976.16,1490560.748,0.717362154,0.00353121,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'TPC_MPOLY', 'TPC_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 2, 'UC_MPOLY': 1, 'SPC_MPOLY': 1, 'TPC_MPOLY': 2}"
1,8,SPC,MPOLY,0.673844645,0.025748496,805229152,668684725.7,2018927.52,1447952.856,0.719820184,0.001772544,,
1,8,SPC,MNOUNIF,0.672897632,0.026055018,805732290.6,605640907.4,2107001.76,1445169.567,0.717392719,0.002311947,,
1,8,SPC,NONE,0.68078308,0.024252254,839038089,664355362.9,2361797.28,1529941.632,0.719347835,0.003878868,,
1,8,TPC,MPOLY,0.673247913,0.02974144,883634199,699977733.7,2200756.64,1607288.027,0.719419558,0.002057405,,
1,8,TPC,MNOUNIF,0.67251534,0.027508667,818038153,644256824.5,2099893.92,1484437.461,0.721398839,0.007566595,,
1,8,TPC,NONE,0.665248319,0.033450975,609524733.4,457964941,1654630.56,1330117.951,0.721318656,0.006653096,,
1,8,UC,MPOLY,0.671361004,0.027940164,731119311.4,630221484.9,1980509.6,1552920.765,0.720735986,0.003881377,,
1,8,UC,MNOUNIF,0.671544357,0.027233948,796755932.2,608706388.3,2072791.2,1450694.128,0.717362154,0.003359142,,
1,8,UC,NONE,0.672675492,0.028492899,670169820.2,495689328.8,1946836.64,1493821.767,0.722288386,0.001546684,,
1,8,SBX,MPOLY,0.671462934,0.028299892,746289598.7,542183795.3,2022886.56,1485156.412,0.719542094,0.002937431,,
1,8,SBX,MNOUNIF,0.671373218,0.027109504,792413082.9,611393147.8,2059872.16,1460552.485,0.717379199,0.000239567,,
1,8,SBX,NONE,0.670847704,0.03224275,847066810.9,680118956.3,2148939.68,1708197.576,0.717824651,0.003865079,,
1,8,NONE,MPOLY,0.673504963,0.026500553,827908695,621800510.1,2120280.48,1493829.602,0.718589851,0.003061878,,
1,8,NONE,MNOUNIF,0.672473788,0.026552617,824693199.4,639283129,2116725.92,1488797.579,0.717362154,0.00353121,,
