Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,search_name
10,42,SBX,MPOLY,0.6599516701590269,0.03655602473135003,357596398.08,402260408.3352318,1106261.92,1257284.9890769534,0.728556174080589,1.1926234157355609e-05,0.02,0.09,MARKOV_MUT
10,43,UC,MPOLY,0.6633018701635826,0.03504623688435495,361164871.68,401944455.45272577,1124984.48,1218936.6595307281,0.728604065002379,4.789092178991705e-05,0.03,0.015,MARKOV_MUT
10,44,SBX,MPOLY,0.6659285355464316,0.03489356749387765,378124584.96,407771233.9220666,1184802.72,1242441.0821440676,0.7287010004072487,9.693540486976904e-05,0.01,0.06,MARKOV_MUT
10,45,NONE,MPOLY,0.6668214480737751,0.035140384891646774,397772989.44,435593307.6918867,1247948.96,1322640.5950382883,0.7287073221475433,6.3217402945792145e-06,0,0.02,MARKOV_MUT
10,46,UC,MPOLY,0.6661982854704829,0.0354727047971492,370004989.44,408238175.9136937,1238126.24,1335557.0405186075,0.7288470935095762,0.0001397713620329144,0.04,0.015,MARKOV_MUT
10,47,SBX,MPOLY,0.6665425660970803,0.03538854168748582,382009825.28,420250092.3548457,1306356.64,1439349.4292505041,0.7288892839708913,4.219046131503923e-05,0.0,0.065,MARKOV_MUT
10,48,NONE,MPOLY,0.6662310341684256,0.03516931226741621,375274188.8,420842517.7412257,1288915.36,1438077.0021257936,0.7289125908786476,2.3306907756315276e-05,0,0.03,MARKOV_MUT
10,49,SPC,MPOLY,0.6677422178235735,0.034458234617892,395729886.72,438487516.00473005,1372522.4,1492854.714277904,0.7289609194377201,4.83285590725524e-05,0.03,0.015,MARKOV_MUT
10,50,UC,MPOLY,0.6672862803124744,0.033762984683084064,349216148.48,395504896.6789357,1218946.72,1292590.7144176306,0.7290106191640455,4.969972632540287e-05,0.05,0.02,MARKOV_MUT
10,51,SBX,MPOLY,0.6660044414942619,0.03345928107453517,324307747.84,370895910.6683126,1124724.64,1186986.6410067766,0.7290740070692843,6.338790523874316e-05,0.0,0.08,MARKOV_MUT
10,52,NONE,MPOLY,0.6665143188914554,0.03345116002503857,321991034.88,354487628.6150459,1095764.64,1086980.7833760036,0.7302161072903162,0.0011421002210318942,0,0.02,MARKOV_MUT
10,53,SPC,MPOLY,0.665798100833288,0.034005837741427805,302250931.2,305872106.5524379,1064413.6,1070194.1710385084,0.7304065280717761,0.00019042078145992125,0.02,0.0,MARKOV_MUT
10,54,TPC,MPOLY,0.6681863107701735,0.034771273513106986,325690188.8,317858283.33416927,1198771.36,1207771.1499633323,0.7305424005007896,0.00013587242901347274,0.05,0.01,MARKOV_MUT
10,55,NONE,MPOLY,0.6687913210241249,0.034777604982621384,321938580.48,298048218.89281946,1197467.04,1188169.7582627991,0.7305534944104952,1.1093909705661709e-05,0,0.01,MARKOV_MUT
10,56,UC,MPOLY,0.6702035656689853,0.034973549762974045,339684311.04,307256058.30672264,1285935.52,1278192.4753354827,0.7305809166394127,2.742222891749524e-05,0.05,0.015,MARKOV_MUT
10,57,SBX,MPOLY,0.6700322542942877,0.03502823935719888,334729198.08,298796527.8081427,1299073.44,1290384.2837237,0.730624655437363,4.37387979502768e-05,0.0,0.065,MARKOV_MUT
10,58,TPC,MPOLY,0.6686680621089944,0.034895156439954986,329156994.56,313838228.00166035,1261049.76,1309872.4463541717,0.7307021434917538,7.74880543907841e-05,0.03,0.015,MARKOV_MUT
10,59,UC,MPOLY,0.6686900227547974,0.03509426673439949,329881356.8,315931983.8022207,1262903.2,1316122.177666131,0.7307056600292559,3.5165375020795864e-06,0.01,0.015,MARKOV_MUT
10,60,SBX,MNUF,0.6686900227547974,0.03509426673439949,329881356.8,315931983.8022207,1262903.2,1316122.177666131,0.7307056600292559,0.0,0.0,0.065,MARKOV_MUT
10,61,SBX,MNUF,0.6686900227547974,0.03509426673439949,329881356.8,315931983.8022207,1262903.2,1316122.177666131,0.7307056600292559,0.0,0.0,0.11,MARKOV_MUT
10,62,SBX,MNUF,0.6686900227547974,0.03509426673439949,329881356.8,315931983.8022207,1262903.2,1316122.177666131,0.7307066948655796,1.0348363237433489e-06,0.0,0.085,MARKOV_MUT
10,63,SBX,MNUF,0.6686900227547974,0.03509426673439949,329881356.8,315931983.8022207,1262903.2,1316122.177666131,0.7307056600292559,-1.0348363237433489e-06,0.01,0.055,MARKOV_MUT
10,64,SBX,MPOLY,0.6694416957796537,0.03532220567083867,340945180.16,321058248.5334301,1279666.08,1313135.429877479,0.7307146810083589,9.020979103047111e-06,0.0,0.08,MARKOV_MUT
10,65,NONE,MPOLY,0.6675736741403526,0.035255208477582484,311080540.16,297239699.36323935,1238122.4,1321158.2013631528,0.7307202508387581,5.569830399232423e-06,0,0.01,MARKOV_MUT
10,66,SPC,MPOLY,0.6676452327201656,0.03530841068044179,309089223.68,296941535.556442,1204306.08,1280539.3581749187,0.7307588188442475,3.856800548940331e-05,0.03,0.015,MARKOV_MUT
10,67,UC,MPOLY,0.670611789598183,0.03520952375422812,346408212.48,347896532.1138022,1324116.64,1364721.4674182534,0.7307617391647091,2.9203204615635414e-06,0.01,0.01,MARKOV_MUT
10,68,SBX,MPOLY,0.6707382535957359,0.03533975022817117,356486389.76,364695459.27984244,1384833.44,1450556.7625654938,0.7307836619558512,2.1922791142103826e-05,0.0,0.05,MARKOV_MUT
10,69,SPC,MPOLY,0.670113333970972,0.03595373742930813,361177280.0,368799462.10491765,1426265.76,1494479.7226521154,0.7308134846044712,2.982264861994821e-05,0.02,0.005,MARKOV_MUT
10,70,UC,MPOLY,0.6709581802556519,0.03629844726620482,372949143.04,371743568.31565183,1439343.52,1479678.4878159747,0.7308191664242809,5.68181980975524e-06,0.03,0.01,MARKOV_MUT
10,71,SBX,MNUF,0.6699012062220601,0.03699397831717547,383641155.84,396315185.7789761,1447552.16,1550426.56550057,0.7309919009759313,0.00017273455165034424,0.0,0.055,MARKOV_MUT
10,72,SBX,MNUF,0.6701341292676491,0.03645526559259496,381680990.72,396890608.79268813,1440754.08,1551864.9403357736,0.7309957246066133,3.823630682076029e-06,0.0,0.055,MARKOV_MUT
