Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
6,27.0,0.0,0.0,0.125,0.0,0.16,0.195,0.8,0.7170608190380949
6,28.0,0.0,0.0,0.125,0.0,0.12,0.22,0.8,0.7172185781440341
6,29.0,0.0,0.0,0.25,0.875,0.13,0.19,0.9666666666666668,0.7203351833746156
6,30.0,0.0,0.0,0.25,0.0,0.05,0.215,0.9666666666666668,0.7203443413984599
6,30.0,0.0,0.0,0.25,0.0,0.05,0.215,0.9666666666666668,0.7203443413984599
7,1.0,0.0,0.0,0.0,0.0,0.22,0.5,0.0333333333333333,0.6699845169164234
7,2.0,0.0,0.0,0.0,0.0,0.18,0.305,0.0333333333333333,0.6863038704874637
7,3.0,0.0,0.0,0.0,0.0,0.19,0.385,0.0333333333333333,0.6901491282167928
7,4.0,0.0,0.0,0.0,0.0,0.08,0.27,0.0333333333333333,0.6906148490769881
7,5.0,0.0,0.0,0.0,0.0,0.12,0.335,0.0333333333333333,0.6957921314786859
7,6.0,0.0,0.0,0.0,0.0,0.2,0.315,0.0333333333333333,0.698825300141775
7,7.0,0.0,0.0,0.0,0.0,0.18,0.365,0.0333333333333333,0.6989952187319386
7,8.0,0.125,0.75,0.125,0.25,0.16,0.265,0.2666666666666666,0.7031490147274194
7,9.0,0.0,0.0,0.25,0.75,0.16,0.295,0.3,0.7097446642730569
7,10.0,0.0,0.0,0.25,0.0,0.19,0.21,0.3,0.7099082470233643
7,11.0,0.0,0.0,0.25,0.0,0.17,0.24,0.3,0.7119381242033875
7,12.0,0.0,0.0,0.375,0.75,0.16,0.2,0.4,0.7132650099026843
7,13.0,0.0,0.0,0.375,0.0,0.18,0.185,0.4,0.7151025452045384
7,14.0,0.0,0.0,0.375,0.0,0.21,0.22,0.4,0.7159118012296994
7,15.0,0.0,0.0,0.375,0.0,0.16,0.225,0.4,0.7161908716983312
7,16.0,0.0,0.0,0.375,0.0,0.13,0.24,0.4,0.7169681171929198
7,17.0,0.0,0.0,0.375,0.0,0.13,0.28,0.4,0.7178556982275354
7,18.0,0.0,0.0,0.375,0.0,0.03,0.26,0.4,0.7192050709992385
7,19.0,0.0,0.0,0.375,0.5,0.1,0.3,0.6333333333333333,0.7204091293218158
7,20.0,0.0,0.0,0.375,0.0,0.12,0.275,0.6333333333333333,0.7204416940519496
7,21.0,0.0,0.0,0.375,0.0,0.07,0.32,0.6333333333333333,0.720525010216314
7,22.0,0.0,0.0,0.375,0.0,0.16,0.275,0.6333333333333333,0.7205694776008558
7,23.0,0.0,0.0,0.375,0.0,0.08,0.285,0.6333333333333333,0.7205707010972089
7,24.0,0.0,0.0,0.375,0.0,0.11,0.36,0.6333333333333333,0.7206750872079619
7,25.0,0.0,0.0,0.375,0.0,0.12,0.245,0.6333333333333333,0.7207293250451193
7,26.0,0.0,0.0,0.375,0.0,0.12,0.305,0.6333333333333333,0.7210879188292931
7,27.0,0.0,0.0,0.375,0.0,0.11,0.24,0.6333333333333333,0.7210915800874428
7,28.0,0.0,0.0,0.375,0.0,0.15,0.305,0.6333333333333333,0.7210961337571766
7,29.0,0.0,0.0,0.375,0.0,0.1,0.29,0.6333333333333333,0.7213438749337171
7,30.0,0.0,0.0,0.375,0.0,0.09,0.3,0.6333333333333333,0.7214020970077926
7,30.0,0.0,0.0,0.375,0.0,0.09,0.3,0.6333333333333333,0.7214020970077926
8,1.0,0.0,0.0,0.0,0.0,0.25,0.49,0.0333333333333333,0.679492152005169
