Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
5,5.0,0.0,0.0,0.5,1.0,0.18,0.325,0.1666666666666666,0.7008552361384777
5,6.0,0.0,0.0,0.5,0.0,0.16,0.33,0.1666666666666666,0.703978094409629
5,7.0,0.0,0.0,0.5,0.0,0.12,0.28,0.1666666666666666,0.7041273529290769
5,8.0,0.0,0.0,0.125,1.0,0.12,0.3,0.2666666666666666,0.7082215401188507
5,9.0,0.0,0.0,0.125,0.0,0.23,0.325,0.2666666666666666,0.7092772538035358
5,10.0,0.0,0.0,0.125,0.0,0.17,0.3,0.2666666666666666,0.7093935496202002
5,11.0,0.0,0.0,0.125,0.0,0.12,0.29,0.2666666666666666,0.709488173051078
5,12.0,0.0,0.0,0.125,0.0,0.18,0.225,0.2666666666666666,0.7097149072006821
5,13.0,0.0,0.0,0.125,0.0,0.08,0.235,0.2666666666666666,0.7097729832397035
5,14.0,0.0,0.0,0.125,0.0,0.17,0.325,0.2666666666666666,0.7106866233962065
5,15.0,0.0,0.0,0.125,0.0,0.2,0.255,0.2666666666666666,0.710720697998896
5,16.0,0.5,0.0,0.25,0.75,0.13,0.245,0.5333333333333333,0.7116283939195434
5,17.0,0.5,0.0,0.25,0.0,0.14,0.23,0.5333333333333333,0.7118285872016519
5,18.0,0.625,0.25,0.25,0.625,0.14,0.24,0.6,0.7131792696331242
5,19.0,0.625,0.25,0.25,0.0,0.07,0.295,0.6,0.713605277723264
5,20.0,0.625,0.25,0.25,0.0,0.19,0.275,0.6,0.7137600940804149
5,21.0,0.625,0.25,0.25,0.0,0.11,0.295,0.6,0.7147684170302611
5,22.0,0.625,0.25,0.25,0.0,0.15,0.28,0.6,0.7158447579880077
5,23.0,0.625,0.25,0.25,0.0,0.11,0.19,0.6,0.7161560003169612
5,24.0,0.375,0.25,0.125,0.5,0.13,0.195,0.8,0.7173582266718065
5,25.0,0.375,0.25,0.125,0.0,0.14,0.205,0.8,0.7177712338692209
5,26.0,0.375,0.25,0.125,0.0,0.13,0.165,0.8,0.717803571719982
5,27.0,0.375,0.25,0.125,0.0,0.06,0.185,0.8,0.7186889210269274
5,28.0,0.375,0.25,0.125,0.0,0.08,0.245,0.8,0.718712437255379
5,29.0,0.375,0.25,0.125,0.0,0.13,0.2,0.8,0.7194375498100185
5,30.0,0.375,0.25,0.125,0.0,0.16,0.235,0.8,0.7194503367950275
5,30.0,0.375,0.25,0.125,0.0,0.16,0.235,0.8,0.7194503367950275
6,1.0,0.375,0.5,0.25,0.0,0.31,0.47,0.0333333333333333,0.6971993312426127
6,2.0,0.375,0.5,0.25,0.0,0.12,0.34,0.0333333333333333,0.6982544139382256
6,3.0,0.375,0.5,0.25,0.0,0.23,0.31,0.0333333333333333,0.7036224213412079
6,4.0,0.375,0.5,0.25,0.0,0.16,0.3,0.0333333333333333,0.704383184222513
6,5.0,0.0,0.0,0.5,1.0,0.17,0.27,0.1666666666666666,0.7059375054482464
6,6.0,0.125,0.875,0.125,1.0,0.17,0.305,0.2,0.7077527313540568
6,7.0,0.125,0.875,0.125,0.0,0.17,0.325,0.2,0.7080845669432765
6,8.0,0.0,0.0,0.25,0.375,0.2,0.39,0.2666666666666666,0.7102093012856416
